Report,Year,Facility,City,State,Services Held,permanent clergy,CMDM clergy,notes,
3,1875,"unnamed, likely to be St. Mark's Church","Grand Rapids, MI",Michigan,2,,A.W. Mann visited by Rev. Gallaudet,at least twice,
3,1875,St. Andrew's Church,"Harlem, NY",New York,,,A.W. Mann,occasional services,
3,1875,St. Paul's Church,"Jackson, MI",Michigan,,,A.W. Mann,occasional services,
3,1875,"unnamed, likely to be St. Paul's Church","Jackson, MI",Michigan,2,,A.W. Mann visited by Rev. Gallaudet,at least twice,
3,1875,Grace Church,"Mexico, NY",New York,,,A.W. Mann,occasional services,
3,1875,"unnamed, likely to be All Saint's Cathedral","Milwaukee, WI",Wisconsin,2,,A.W. Mann visited by Rev. Gallaudet,at least twice,
3,1875,St. Mary's Church,"Mott Haven, NY",New York,,,A.W. Mann,occasional services,
3,1875,St. Paul's Church,"New Haven, CT",Connecticut,52,"Rev. Mr. Lobdell, rector","Mr. Beecher(deaf), Mr. Leek, deaf) bible classes , Gallaudet, one visit in May","bible class, occasional services",
3,1875,St. Ann's Church,"New York City, NY",New York,52,"Thomas Gallaudet, John Chamberlain",,,
3,1875,Christ Church,"Newark, NJ",New Jersey,,,A.W. Mann,occasional services,
3,1875,St. Stephen's Church,"Newark, NJ",New Jersey,,,A.W. Mann,occasional services,
3,1875,Trinity Church,"Newark, NJ",New Jersey,,,A.W. Mann,occasional services,
3,1875,Christ Church,"Newton, NJ",New Jersey,,,A.W. Mann,occasional services,
3,1875,Christ Church,"Norwich, CT",Connecticut,,,A.W. Mann,occasional services,
3,1875,St. Stephen's Church,"Philadelphia, PA",Pennsylvania,,"Rev. Dr. Rutter, rector","Rev. Dr. Gallaudet, Rev. Mr Chamberlain, Rev. Dr. Clerc (rector Burlington College), Mr. Henry W. Syle","""regularly held for most of the year Sunday afternoon""",
3,1875,Trinity Church,"Pittsburg, PA",Pennsylvania,,,A.W. Mann,occasional services,
3,1875,Trinity Church,"Potsdam, NY",New York,,,A.W. Mann,occasional services,
3,1875,Grace Church,"Providence, RI",Rhode Island,,,A.W. Mann,occasional services,
3,1875,St. Luke's Church,"Rochester, NY",New York,52,"Rev. Dr. Anstice, rector","Mr. John C. Acker, deaf with Mr. Edward P. Hart (hearing, who sometimes interpreted services in church)",,
3,1875,St. Mark's Church,"Tarrytown, NY",New York,,,A.W. Mann,occasional services,
3,1875,St. Paul's Chapel,"Troy, NY",New York,12,Rev. Walker Gwynne ,Rev. Thomas B. Berry,"began services here (also occasional services in ""other places"")",
3,1875,St. Mark's Church,"Washington, DC",D.C.,,,A.W. Mann,occasional services,
3,1875,Trinity Chruch,"Watertown, NY",New York,,,A.W. Mann,occasional services,
3,1875,St. Matthew's Church,"Wheeling, WV",West Virginia,,,A.W. Mann,occasional services,
5,1877,St. Paul's Church,"Albany, NY",New York ,52,"Rev. Dr. Reese, rector","Rev. Gallaudet, REv. Mr. Berry","Galladuet visted five, for most of the year, Berry interpreted services friday afternoons, moved to Fond-Du-Lac",
5,1877,Grace Church,"Allentown, PA",Pennsylvania,48,"Rev. Mr. Stewart, Pastor","Chamberlain (2), regular services by Thomas S. Roberts","weekly, but missed several due to illness",
5,1877,Name not given,"Augusta, ME",Maine,1,,Turner,,
5,1877,Grace Church,"Baltimore, MD",Maryland,12,"Rev. Dr. Leeds, rector","Rev. Chamberlain (three services), Syle",monthly,
5,1877,Name not given,"Bath, ME",Maine,1,,Turner,,
5,1877,Name not given,"Belfast, ME",Maine,1,,Turner,,
5,1877,Church of the Good Shepherd,"Boston, MA",Massachusetts,6,,Rev. Gallaudet (3) chamberlain (3),,
5,1877,Name not given,"Boston, MA",Massachusetts,4,,Turner,,
5,1877,St. Paul's Church,"Boston, MA",Massachusetts,1,,Rev. Gallaudet,,
5,1877,St. Paul's Church,"Bridgeport, CT",Connecticut,1,,Chamberlain,,
5,1877,Church of the Redeemer,"Brooklyn, NY",New York,1,,Gallaudet,at least one service,
5,1877,St. Luke's Church,"Brooklyn, NY",New York,1,,Gallaudet,at least one service,
5,1877,St. Mary's Church,"Brooklyn, NY",New York,12,,"Gallaudet indicates he officiated 5 times, Chamberlain four services, James Lewis layreader",,
5,1877,St. John's Church,"Cambridge, MA",Massachusetts,2,,Gallaudet (1) and Turner (1),at least twice,
5,1877,St. Peter's Church,"Cambridgeport, MA",Massachusetts,4,,Gallaudet,,
5,1877,St. James' Church,"Chicago, IL",Illinois,6,,A.W. Mann visited by Gallaudet,,
5,1877,St. John's Church,"Cincinnati, OH",Ohio,3,"Rev. Mr. Morgan, rector","A.W. Mann visited by Gallaudet, McGregor lay services",,
5,1877,Grace Church,"Cleveland, OH",Ohio,11,,A.W. Mann visited by Gallaudet,,
5,1877,Trinity Church,"Columbus, OH",Ohio,,,A.W. Mann visited by Gallaudet,occasional services,
5,1877,St. Paul's Church,"Concord, NH",New Hampshire,3,,Turner,,
5,1877,Name not given,"Damariscotta, ME",Maine,1,,Turner,,
5,1877,Christ Church,"Dayton, OH",Ohio,,,A.W. Mann visited by Gallaudet,occasional services,
5,1877,Christ Church,"Delavan, WI",Wisconsin,,,A.W. Mann visited by Gallaudet,occasional services,
5,1877,St. Peter's Church,"Delaware, OH",Ohio,3,,A.W. Mann visited by Gallaudet,,
5,1877,St. John's Church,"Detroit, MI",Michigan,3,,A.W. Mann visited by Gallaudet,,
5,1877,Grace Church,"Elmira, NY",New York,2,"Rev. Mr. Hoskins, rector",Gallaudet,,
5,1877,Name not given,"Fall River, MA",Massachusetts,4,,Turner,,
5,1877,St. Paul's Church,"Flint, MI",Michigan,3,,A.W. Mann visited by Gallaudet,,
5,1877,St. Mark's Church,"Grand Rapids, MI",Michigan,,,A.W. Mann visited by Gallaudet,Occasional services ,
5,1877,Trinity Church,"Granville, NY",New York,1,"Rev. Thomas B. Berry, rector",Berry,,
5,1877,Christ Chruch,"Indianapolis, IN",Indiana,,,A.W. Mann visited by Gallaudet,Occasional services,
5,1877,St. Paul's Church,"Jackson, MI",Michigan,6,,Mann,,
5,1877,Grace Church,"Jersey City, NJ",New Jersey,1,,James Lewis,,
5,1877,Name not given,"Lewiston, ME",Maine,1,,Turner,,
5,1877,Christ Church,"Louisville, KY",Kentucky,,,A.W. Mann visited by Gallaudet,occasional services,
5,1877,St. Michael's Church,"Marblehead, MA",Massachusetts,4,,Gallaudet,"""several times"" - at least 4",
5,1877,Name not given,"Martha's Vineyard, MA",Massachusetts,1,,Turner,,
5,1877,Grace Church,"Mexico, NY",New York,1,,Mann,,
5,1877,All Saint's Cathedral,"Milwaukee, WI",Wisconsin,3,,A.W. Mann visited by Gallaudet,,
5,1877,St. Mary's Church,"Mott Haven, NY",New York,2,,"Gallaudet, chamberlain ",at least 2 services,
5,1877,St. John's Church,"Nantucket, MA",Massachusetts,1,,Gallaudet,at least one service,
5,1877,Name not given,"Nashua, NH",New Hampshire,1,,Turner,,
5,1877,St. Ann's Church,"New York City, NY",New York,52,"Thomas Gallaudet, John Chamberlain","Gallaudet, Chamberlain, Berry (one service)","each led services 26 sundays of the year, Syle visited one time",
5,1877,Name not given,"New York City, NY",New York,3,,Turner,,
5,1877,Name not given,"Newport, RI",Rhode Island,1,,Turner,,
5,1877,St. Paul's Chuch ,"Newport, KY",Kentucky,,,A.W. Mann visited by Gallaudet,occasional services,
5,1877,Park Congregational Church,"Norwich, CT",Connecticut,2,,Gallaudet (1) and Turner (1),,
5,1877,Name not given,"Oswego, NY",New York,1,,Turner,,
5,1877,Name not given,"Pawtucket, RI",Rhode Island,1,,Turner,,
5,1877,St. Stephen's Church,"Philadelphia, PA",Pennsylvania,53,"Rev. Dr. Rutter, rector","Rev. Dr. Gallaudet, Rev. Mr Chamberlain, Rev. Dr. Clerc (rector Burlington College), Mr. Henry W. Syle","Syle takes control of this ""mission"", Gallaudet =3 sundays, Chamberlain = 2 services",
5,1877,St. John's Church,"Phillipsburg, PA",Pennsylvania,,,Rev. Dr. Clerc,Occasional services,
5,1877,Trinity Church,"Pittsburg, PA",Pennsylvania,2,"Rev. Dr. Hitchcock, rector",A.W. Mann visited by Gallaudet,,
5,1877,St. Luke's Cathedral,"Portland, ME",Maine,1,,Turner,requests to move to the South for health reasons,
5,1877,Trinity Church,"Potsdam, NY",New York,5,,Pennell,,
5,1877,Grace Church,"Providence, RI",Rhode Island,4,,Turner,,
5,1877,St. James Church,"Pulaski, NY",New York,,,"Gallaudet visited, Mann too",occasional services,
5,1877,Chapel of Racine College,"Racine, WI",Wisconsin,,,A.W. Mann visited by Gallaudet,occasional services,
5,1877,St. Paul's Church,"Racine, WI",Wisconsin,,,A.W. Mann visited by Gallaudet,occasional services,
5,1877,St. Barnabas' Church,"Reading, PA",Pennsylvania,1,,Chamberlain,,
5,1877,St. Luke's Church,"Rochester, NY",New York,52,Rev. Dr. Anstice,"Edward Pratt, Acker, layreader, Gallaudet visited, Mann too",,weekly
5,1877,Zion Church,"Rome, NY",New York,,,"Gallaudet visited, Mann too",occasional services,
5,1877,Trinity Church,"Saco, ME",Maine,3,,Turner,,
5,1877,St. Peter's Church,"Salem,",Massachusetts,,,Gallaudet,"""several times""",
5,1877,St. Paul's Church,"Troy, NY",New York,12,,Berry,,
5,1877,St. Mark's Church,"Washington, DC",D.C.,1,,Camberlain,,
5,1877,Church of the Intercession,"Washington Heights, New York",New York,3,"Rev. Mr. Donald, rector",Gallaudet,,
5,1877,Name not given,"West Henniker, NH",New Hampshire,1,,Turner,,
5,1877,All Saints' Church,"Worcester, MA",Massachusetts,,,"Gallaudet visited, Mann and Turner too",occasional services,
5,1877,St. John's Church,"York, PA",Pennsylvania,1,,Clerc,,
6,1878,St. Paul's Church,"Albany, NY",New York,4,"Rev. Dr. Harrison, rector","Gallaudet, Mann",quarterly services,
6,1878,Grace Church,"Allentown, PA",Pennsylvania,52,,Thomas S. Roberts,,
6,1878,St. Andrew's Church,"Ann Arbor, MI",Michigan,1,,"Gallaudet, Mann",at least once,
6,1878,St. Ann's Church,"Annapolis, MD",Maryland,1,,Turner,,
6,1878,St. Philip's Church,"Atlanta, GA",Georgia,1,,Turner,at least once,
6,1878,St. Peter's Church,"Auburn, NY",New York,1,"Rev. Dr. Brainard, rector",Gallaudet,,
6,1878,unnamed Church,"Augusta, ME",Maine,1,,Turner,,
6,1878,Texas Institution for the Deaf and Dumb,"Austin, TX",Texas,1,,Turner,,
6,1878,Christ Church,"Ballston, NY",New York,1,,Gallaudet,,
6,1878,Grace Church,"Baltimore, MD",Maryland,13,"Rev. Dr. Leeds, rector","Gallaudet(2), Chamberlian (5) Turner (1)",monthly,
6,1878,unnamed Church,"Bangor, ME",Maine,1,,Turner,,
6,1878,unnamed Church,"Baton Rouge, LA",Louisiana,1,,Turner,,
6,1878,Church of the Good Shepherd,"Boston, MA",Massachusetts,1,,Gallaudet,,
6,1878,St. Paul's Church,"Boston, MA",Massachusetts,12,,"Job Turner, Chamberlain(2)",second sunday each month,
6,1878,St. Paul's Church,"Boston, MA",Massachusetts,12,,Gallaudet,once a month,
6,1878,St. Paul's Church,"Boston, MA",Massachusetts,3,,Turner,,
6,1878,St. Paul's Church,"Bridgeport, CT",Connecticut,,,R.D. Beers,,
6,1878,Christ Church,"Brooklyn, NY",New York,12,Rev. Mr. Partridge,Gallaudet,fourth Sunday each month,
6,1878,St. Ann's Church,"Brooklyn, NY",New York,,"Rev. Dr. Schenck, rector",Gallaudet,at least once,
6,1878,St. Mary's Church,"Brooklyn, NY",New York,,"Rev. Dr. Johnson, rector","Gallaudet, Chamberlain, Lewis","Second sunday each month. Moved - to the Chapel of St. Ann's Church in Brooklyn, Rev. Dr. Schenck, rector on second sunday of month",
6,1878,St. John's Church,"Buffalo, NY",New York,3,,"Gallaudet (2), Mann (1)",,
6,1878,St. Peter's Church,"Cambridgeport, MA",Massachusetts,2,"Rev. Mr. Gushee, rector",Gallaudet,,
6,1878,Georgia Institution for Deaf and Dumb,"Cave Spring, GA",Georgia,1,,Turner,,
6,1878,South Carolina School for the Deaf,"Cedar Spring, SC",South Carolina,1,,Turner,,
6,1878,unnamed Church,"Charleston, SC",South Carolina,1,,Turner,,
6,1878,St. Peter's Church,"Charlotte, NC",North Carolina,1,,Turner,,
6,1878,Cathedral of St. Peter and St. Paul,"Chicago, IL",Illinois,2,,"Gallaudet, Mann",at least twice,
6,1878,Grace Church,"Chicago, IL",Illinois,1,"Rev. Dr. Locke, rector","Gallaudet, Mann",,
6,1878,unnamed Church,"Chicago, IL",Illinois,1,,Turner,,
6,1878,St. James' Church,"Chicago, IL",Illinois,16,,"E. P. Holmes (layreader), Gallaudet, Mann (13)",,
6,1878,Christ Church,"Cincinnati, OH",Ohio,2,,"Gallaudet, Mann, Turner",,
6,1878,St. John's Church,"Cincinnati, OH",Ohio,6,,"R. P. McGregor, Mann (6)",,
6,1878,Grace Church,"Cleveland, OH",Ohio,18,,"Gallaudet (1), Mann (17)",,
6,1878,St. Paul's Church,"Cleveland, OH",Ohio,1,Rev. Dr. Bolles,"Gallaudet, Mann",at least once,
6,1878,St. John's Church,"Cohoes, NY",New York,1,,Gallaudet,at least once,
6,1878,unnamed Church,"Columbia, SC",South Carolina,1,,Turner,,
6,1878,St. Paul's Church,"Columbus, OH",Ohio,2,,"Gallaudet, Mann, Turner",at least twice,
6,1878,St. Paul's Church,"Concord, NH",New Hampshire,1,,Turner,,
6,1878,Emmanuel Church,"Coopersville, MI",Michigan,2,,Mann,,
6,1878,Kentucky Institution,"Danville, KY",Kentucky,1,,Turner,,
6,1878,Christ Church,"Dayton, OH",Ohio,5,,Mann,,
6,1878,St. Peter's Church,"Delaware, OH",Ohio,2,,Mann,,
6,1878,St. John's Church,"Detroit, MI",Michigan,6,,Mann,,
6,1878,St. Paul's Church,"Detroit, MI",Michigan,1,,"Gallaudet, Mann",at least once,
6,1878,Trinity Church,"Elizabeth, NJ",New Jersey,1,"Rev. Mr. McAllister, rector",Gallaudet,at least once,
6,1878,St. Paul's Church,"Erie, PA",Pennsylvania,1,"Rev. Mr. Mills, rector","Gallaudet, Mann, Hilliard, Moore",at least once,
6,1878,Church of the Ascension,"Fall River, MA",Massachusetts,1,Rev. Mr. Fitch,Gallaudet,at least once,
6,1878,Michigan Institution,"Flint, MI",Michigan,1,,Turner,,
6,1878,St. Paul's Church,"Flint, MI",Michigan,6,,Mann,,
6,1878,Trinity Church,"Fort Wayne, IN",Indiana,1,"Rev. Mr. Tate, rector","Gallaudet, Mann",at least once,
6,1878,unnamed Church,"Frederick City, MD",Maryland,1,,Turner,,
6,1878,Grace Church,"Galesburg, IL",Illinois,2,"Rev. Mr. Higgins, rector","Gallaudet (1), Mann (1)",,
6,1878,Trinity Church,"Galveston, TX",Texas,1,,Turner,,
6,1878,Trinity Church,"Geneva, NY",New York,2,Rev. Mr. Nelson,Gallaudet,at least twice,
6,1878,Church of the Messiah,"Glenn's Falls, NY",New York,1,"Rev. Mr. Olin, rector",Gallaudet,at least once,
6,1878,St. John's Church,"Hagerstown, MD",Maryland,1,,Gallaudet,at least once,
6,1878,St. Andrew's Church,"Harlem, NY",New York,12,"Rev. Mr. Earp, rector","Gallaudet, Chamberlain, Lewis",third sunday each month,
6,1878,Congregational Church of Henniker,"Henniker, NH",New Hampshire,2,"Rev. Mr. Hoffman, pastor","Gallaudet, Turner",,
6,1878,Christ Church,"Indianapolis, IN",Indiana,6,Rev. Dr. Schuyler,"Gallaudet (1), Mann (5)",,
6,1878,St. Paul's Cathedral,"Indianapolis, IN",Indiana,1,,"Gallaudet, Mann",at least once,
6,1878,St. Paul's Church,"Jackson, MI",Michigan,7,,"Gallaudet (1), Mann (6)",,
6,1878,St. Paul's Church,"Jackson, MI",Michigan,6,,Mann,,
6,1878,Trinity Church,"Jacksonville, IL",Illinois,3,,"Gallaudet (1), Mann (1), Turner (1)",,
6,1878,unnamed Church,"Jacksonville, MS",Mississippi,1,,Turner,,
6,1878,unnamed Church,"Lewiston, ME",Maine,1,,Turner,,
6,1878,Christ Church,"Louisville, KY",Kentucky,2,,"Mann, Turner",,
6,1878,Grace Church,"Mansfield, OH",Ohio,1,"Rev. Dr. Bronson, rector","Gallaudet, Mann",,
6,1878,St. Michael's Church,"Marblehead, MA",Massachusetts,1,,Gallaudet,at least once,
6,1878,St. Paul's Church,"Marion, OH",Ohio,1,,Mann,,
6,1878,Grace Church,"Mexico, NY",New York,2,"Rev. Dr. Cross, rector",Gallaudet,,
6,1878,Grace Church,"Mexico, NY",New York,2,,Turner,,
6,1878,Trinity Church,"Michigan City, IN",Indiana,1,,Mann,,
6,1878,All Saints' Cathedral,"Milwaukee, WI",Wisconsin,3,,Mann,,
6,1878,Gethesmane,"Minneapolis, MN",Minnesota,1,,Mann,,
6,1878,unnamed Church,"Mobile, AL",Alabama,1,,Turner,,
6,1878,unnamed Church,"Montgomery, AL",Alabama,1,,Turner,,
6,1878,St. Mary's Church,"Mott Haven, NY",New York,1,,Gallaudet,at least once,
6,1878,Pequot Chapel,"New London, CT",Connecticut,1,,Gallaudet,at least once,
6,1878,Christ Church,"New Orleans, LA",Louisiana,1,,Turner,,
6,1878,St. Ann's Church,"New York City, NY",New York,52,"Rev. Thomas Gallaudet, rector","Gallaudet, Chamberlain, Turner, Mr. James, Lewis",weekly sunday,
6,1878,Church of the Holy Spirit,"New York City, NY",New York,1,,Gallaudet,,
6,1878,unnamed Church,"New York City, NY",New York,1,,Turner,,
6,1878,St. John's Church,"Newark, NJ",New Jersey,24,"Rev. Dr. Pennell, rector","George C. Pennell, rector, Gallaudet",twice monthly,
6,1878,Trinity Church,"Newark, NJ",New Jersey,1,"Rev. Dr. Eccleston, rector",Gallaudet,at least one combined service,
6,1878,unnamed Church,"Newark, NJ",New Jersey,1,,Turner,,
6,1878,St. Paul's Church,"Newburyport, MA",Massachusetts,1,"Rev. Mr. Drowne, rector",Gallaudet,at least once,
6,1878,St. Paul's Church,"Newport, KY",Kentucky,1,,Mann,,
6,1878,Zion Church,"Newport, RI",Rhode Island,1,Rev. Mr. Kettell,Gallaudet,at least once,
6,1878,Trinity Church,"Niles, MI",Michigan,2,,"Gallaudet (1), Mann (1)",,
6,1878,Christ's Church,"Norfolk, VA",Virginia,1,,Turner,,
6,1878,Kansas Institution,"Olathe, KA",Kansas,1,,Turner,,
6,1878,Grace Church,"Petersburg, VA",Virginia,1,,Turner,,
6,1878,St. Stephen's Mission to Deaf-Mutes,"Philadelphia, PA",Pennsylvania,1,"Rev. William Rudder, D.D., rector",Hernry Winter Syle,at least once,
6,1878,unnamed Church,"Philadelphia, PA",Pennsylvania,1,,Turner,,
6,1878,Trinity Church,"Pittsburg, PA",Pennsylvania,7,"Rev. Dr. Hitchcock, rector","Gallaudet (1), Mann (6)",,
6,1878,St. Luke's Cathedral,"Portland, ME",Maine,2,,Turner,,
6,1878,Christ Church,"Portsmouth, OH",Ohio,1,,Mann,,
6,1878,Church of the Redeemer,"Princeton, IL",Illinois,1,,"Gallaudet, Mann",at least once,
6,1878,Chapel of Grace Church,"Providence, RI",Rhode Island,2,Rev. Mr. Wheeler,"Gallaudet, Turner",,
6,1878,St. John's Cathedral,"Quincy, IL",Illinois,1,"Rev. Dr. Corbyn, Re. Mr. Larrabee","Gallaudet, Mann",at least once,
6,1878,Church of the Good Shepherd,"Raleigh, NC",North Carolina,1,,Turner,,
6,1878,North Carolina School for the Deaf,"Raleigh, NC",North Carolina,1,,Turner,,
6,1878,St. Paul's Church,"Richmond, VA",Virginia,1,,Turner,,
6,1878,St. Luke's Church,"Rochester, NY",New York,52,"Rev. Dr. Anstice, rector","John C. Acker, Edward P. Hart, Gallaudet (2)",,weekly
6,1878,Emmanuel Church,"Rockford, IL",Illinois,2,,Mann,,
6,1878,unnamed Church,"Rome, NY",New York,1,,Turner,,
6,1878,Zion Church,"Rome, NY",New York,2,"Rev. Mr. Clarke, rector",Gallaudet,,
6,1878,unnamed Church,"Saco, ME",Maine,1,,Turner,,
6,1878,St. Peter's Church,"Salem, MA",Masschusetts,,,"William Bailey, assisting services",,
