Month,MajorText,MinorText,CrimeCount,Spatial_DistrictName
201104,Criminal Damage,Criminal Damage To Dwelling,38,Westminster
201104,Burglary,Burglary In A Dwelling,106,Westminster
201104,Violence Against The Person,Assault With Injury,283,Westminster
201104,Burglary,Burglary In Other Buildings,206,Westminster
201104,Other Notifiable Offences,Going Equipped,1,Camden
201104,Theft and Handling,Motor Vehicle Interference and Tampering,17,Camden
201104,Theft and Handling,Other Theft,677,Camden
201104,Burglary,Burglary In A Dwelling,160,Camden
201104,Theft and Handling,Theft/Taking Of Pedal Cycle,129,Camden
201104,Theft and Handling,Theft From Shops,121,Camden
201104,Robbery,Personal Property,141,Camden
201104,Other Notifiable Offences,Other Notifiable,16,Camden
201104,Violence Against The Person,Harassment,116,Camden
201104,Criminal Damage,Criminal Damage To Dwelling,42,Camden
201104,Violence Against The Person,Murder,1,Camden
201104,Violence Against The Person,Wounding/GBH,23,Camden
201104,Robbery,Business Property,9,Camden
201104,Criminal Damage,Other Criminal Damage,45,Camden
201104,Theft and Handling,Theft From Motor Vehicle,212,Camden
201104,Sexual Offences,Rape,4,Camden
201104,Violence Against The Person,Assault With Injury,193,Camden
201104,Fraud and Forgery,Counted Per Victim,79,Camden
201104,Fraud and Forgery,Other Fraud and Forgery,34,Camden
201104,Sexual Offences,Other Sexual,23,Camden
201104,Theft and Handling,Theft Person,297,Camden
201104,Drugs,Possession Of Drugs,155,Camden
201104,Criminal Damage,Criminal Damage To Other Building,31,Camden
201104,Violence Against The Person,Other Violence,14,Camden
201104,Criminal Damage,Criminal Damage To Motor Vehicle,88,Camden
201104,Drugs,Drug Trafficking,11,Camden
201104,Violence Against The Person,Common Assault,138,Camden
201104,Theft and Handling,Theft/Taking Of Motor Vehicle,64,Camden
201104,Burglary,Burglary In Other Buildings,134,Camden
201104,Theft and Handling,Handling Stolen Goods,5,Camden
201104,Violence Against The Person,Offensive Weapon,10,Camden
201104,Sexual Offences,Other Sexual,14,Hammersmith and Fulham
201104,Drugs,Possession Of Drugs,110,Hammersmith and Fulham
201104,Theft and Handling,Theft/Taking Of Pedal Cycle,115,Hammersmith and Fulham
201104,Robbery,Business Property,3,Hammersmith and Fulham
201104,Robbery,Personal Property,53,Hammersmith and Fulham
201104,Theft and Handling,Other Theft,237,Hammersmith and Fulham
201104,Theft and Handling,Theft From Motor Vehicle,276,Hammersmith and Fulham
201104,Violence Against The Person,Common Assault,98,Hammersmith and Fulham
201104,Sexual Offences,Rape,4,Hammersmith and Fulham
201104,Criminal Damage,Criminal Damage To Other Building,19,Hammersmith and Fulham
201104,Drugs,Other Drugs,2,Hammersmith and Fulham
201104,Violence Against The Person,Offensive Weapon,4,Hammersmith and Fulham
201104,Violence Against The Person,Wounding/GBH,24,Hammersmith and Fulham
201104,Other Notifiable Offences,Going Equipped,6,Hammersmith and Fulham
201104,Criminal Damage,Criminal Damage To Motor Vehicle,61,Hammersmith and Fulham
201104,Other Notifiable Offences,Other Notifiable,24,Hammersmith and Fulham
201104,Theft and Handling,Handling Stolen Goods,8,Hammersmith and Fulham
201104,Theft and Handling,Theft Person,88,Hammersmith and Fulham
201104,Theft and Handling,Theft/Taking Of Motor Vehicle,60,Hammersmith and Fulham
201104,Drugs,Drug Trafficking,4,Hammersmith and Fulham
201104,Criminal Damage,Criminal Damage To Dwelling,41,Hammersmith and Fulham
201104,Fraud and Forgery,Other Fraud and Forgery,18,Hammersmith and Fulham
201104,Theft and Handling,Motor Vehicle Interference and Tampering,15,Hammersmith and Fulham
201104,Violence Against The Person,Harassment,105,Hammersmith and Fulham
201104,Theft and Handling,Theft From Shops,182,Hammersmith and Fulham
201104,Burglary,Burglary In A Dwelling,145,Hammersmith and Fulham
201104,Fraud and Forgery,Counted Per Victim,31,Hammersmith and Fulham
201104,Violence Against The Person,Other Violence,14,Hammersmith and Fulham
201104,Criminal Damage,Other Criminal Damage,26,Hammersmith and Fulham
201104,Burglary,Burglary In Other Buildings,41,Hammersmith and Fulham
201104,Violence Against The Person,Assault With Injury,114,Hammersmith and Fulham
201104,Theft and Handling,Handling Stolen Goods,2,Hackney
201104,Violence Against The Person,Other Violence,22,Hackney
201104,Other Notifiable Offences,Other Notifiable,31,Hackney
201104,Criminal Damage,Other Criminal Damage,60,Hackney
201104,Criminal Damage,Criminal Damage To Other Building,20,Hackney
201104,Robbery,Personal Property,95,Hackney
201104,Theft and Handling,Theft Person,196,Hackney
201104,Theft and Handling,Theft/Taking Of Pedal Cycle,124,Hackney
201104,Burglary,Burglary In A Dwelling,150,Hackney
201104,Fraud and Forgery,Other Fraud and Forgery,23,Hackney
201104,Violence Against The Person,Wounding/GBH,19,Hackney
201104,Robbery,Business Property,12,Hackney
201104,Criminal Damage,Criminal Damage To Motor Vehicle,78,Hackney
201104,Violence Against The Person,Offensive Weapon,20,Hackney
201104,Criminal Damage,Criminal Damage To Dwelling,53,Hackney
201104,Theft and Handling,Theft/Taking Of Motor Vehicle,96,Hackney
201104,Burglary,Burglary In Other Buildings,96,Hackney
201104,Theft and Handling,Motor Vehicle Interference and Tampering,15,Hackney
201104,Violence Against The Person,Harassment,109,Hackney
201104,Violence Against The Person,Assault With Injury,165,Hackney
201104,Sexual Offences,Rape,11,Hackney
201104,Drugs,Possession Of Drugs,121,Hackney
201104,Theft and Handling,Theft From Shops,70,Hackney
201104,Other Notifiable Offences,Going Equipped,3,Hackney
201104,Violence Against The Person,Common Assault,143,Hackney
201104,Sexual Offences,Other Sexual,35,Hackney
201104,Drugs,Other Drugs,1,Hackney
201104,Drugs,Drug Trafficking,10,Hackney
201104,Theft and Handling,Theft From Motor Vehicle,168,Hackney
201104,Fraud and Forgery,Counted Per Victim,23,Hackney
201104,Theft and Handling,Other Theft,379,Hackney
201104,Theft and Handling,Theft From Shops,66,Tower Hamlets
201104,Theft and Handling,Other Theft,346,Tower Hamlets
201104,Violence Against The Person,Harassment,128,Tower Hamlets
201104,Fraud and Forgery,Counted Per Victim,53,Tower Hamlets
201104,Sexual Offences,Rape,9,Tower Hamlets
201104,Drugs,Possession Of Drugs,132,Tower Hamlets
201104,Violence Against The Person,Murder,2,Tower Hamlets
201104,Theft and Handling,Theft From Motor Vehicle,160,Tower Hamlets
201104,Violence Against The Person,Common Assault,129,Tower Hamlets
201104,Theft and Handling,Motor Vehicle Interference and Tampering,8,Tower Hamlets
201104,Other Notifiable Offences,Going Equipped,3,Tower Hamlets
201104,Drugs,Drug Trafficking,50,Tower Hamlets
201104,Theft and Handling,Handling Stolen Goods,4,Tower Hamlets
201104,Burglary,Burglary In Other Buildings,102,Tower Hamlets
201104,Criminal Damage,Criminal Damage To Motor Vehicle,73,Tower Hamlets
201104,Violence Against The Person,Offensive Weapon,14,Tower Hamlets
201104,Criminal Damage,Criminal Damage To Other Building,23,Tower Hamlets
201104,Theft and Handling,Theft/Taking Of Motor Vehicle,77,Tower Hamlets
201104,Fraud and Forgery,Other Fraud and Forgery,24,Tower Hamlets
201104,Robbery,Personal Property,105,Tower Hamlets
201104,Theft and Handling,Theft/Taking Of Pedal Cycle,114,Tower Hamlets
201104,Sexual Offences,Other Sexual,19,Tower Hamlets
201104,Robbery,Business Property,6,Tower Hamlets
201104,Violence Against The Person,Wounding/GBH,46,Tower Hamlets
201104,Criminal Damage,Other Criminal Damage,42,Tower Hamlets
201104,Other Notifiable Offences,Other Notifiable,30,Tower Hamlets
201104,Theft and Handling,Theft Person,113,Tower Hamlets
201104,Violence Against The Person,Other Violence,10,Tower Hamlets
201104,Criminal Damage,Criminal Damage To Dwelling,60,Tower Hamlets
201104,Burglary,Burglary In A Dwelling,122,Tower Hamlets
201104,Violence Against The Person,Assault With Injury,115,Tower Hamlets
201104,Robbery,Personal Property,140,Waltham Forest
201104,Theft and Handling,Theft/Taking Of Pedal Cycle,22,Waltham Forest
201104,Criminal Damage,Criminal Damage To Other Building,16,Waltham Forest
201104,Theft and Handling,Theft Person,70,Waltham Forest
201104,Criminal Damage,Criminal Damage To Motor Vehicle,92,Waltham Forest
201104,Criminal Damage,Criminal Damage To Dwelling,51,Waltham Forest
201104,Burglary,Burglary In A Dwelling,185,Waltham Forest
201104,Violence Against The Person,Offensive Weapon,10,Waltham Forest
201104,Sexual Offences,Other Sexual,17,Waltham Forest
201104,Other Notifiable Offences,Other Notifiable,21,Waltham Forest
201104,Violence Against The Person,Other Violence,22,Waltham Forest
201104,Violence Against The Person,Wounding/GBH,34,Waltham Forest
201104,Fraud and Forgery,Other Fraud and Forgery,56,Waltham Forest
201104,Theft and Handling,Motor Vehicle Interference and Tampering,18,Waltham Forest
201104,Violence Against The Person,Assault With Injury,152,Waltham Forest
201104,Theft and Handling,Theft From Motor Vehicle,232,Waltham Forest
201104,Sexual Offences,Rape,9,Waltham Forest
201104,Violence Against The Person,Murder,1,Waltham Forest
201104,Criminal Damage,Other Criminal Damage,43,Waltham Forest
201104,Drugs,Drug Trafficking,4,Waltham Forest
201104,Robbery,Business Property,9,Waltham Forest
201104,Violence Against The Person,Common Assault,119,Waltham Forest
201104,Theft and Handling,Handling Stolen Goods,1,Waltham Forest
201104,Theft and Handling,Theft/Taking Of Motor Vehicle,137,Waltham Forest
201104,Burglary,Burglary In Other Buildings,88,Waltham Forest
201104,Other Notifiable Offences,Going Equipped,1,Waltham Forest
201104,Violence Against The Person,Harassment,112,Waltham Forest
201104,Drugs,Possession Of Drugs,84,Waltham Forest
201104,Theft and Handling,Theft From Shops,95,Waltham Forest
201104,Fraud and Forgery,Counted Per Victim,57,Waltham Forest
201104,Theft and Handling,Other Theft,285,Waltham Forest
201104,Violence Against The Person,Other Violence,9,Redbridge
201104,Drugs,Possession Of Drugs,181,Redbridge
201104,Violence Against The Person,Common Assault,82,Redbridge
201104,Fraud and Forgery,Counted Per Victim,97,Redbridge
201104,Criminal Damage,Criminal Damage To Dwelling,34,Redbridge
201104,Sexual Offences,Rape,7,Redbridge
201104,Theft and Handling,Theft From Motor Vehicle,200,Redbridge
201104,Theft and Handling,Handling Stolen Goods,3,Redbridge
201104,Theft and Handling,Theft/Taking Of Pedal Cycle,36,Redbridge
201104,Robbery,Personal Property,84,Redbridge
201104,Theft and Handling,Theft Person,45,Redbridge
201104,Violence Against The Person,Assault With Injury,131,Redbridge
201104,Theft and Handling,Theft From Shops,86,Redbridge
201104,Burglary,Burglary In Other Buildings,53,Redbridge
201104,Other Notifiable Offences,Other Notifiable,15,Redbridge
201104,Criminal Damage,Criminal Damage To Motor Vehicle,115,Redbridge
201104,Theft and Handling,Motor Vehicle Interference and Tampering,11,Redbridge
201104,Theft and Handling,Theft/Taking Of Motor Vehicle,143,Redbridge
201104,Criminal Damage,Criminal Damage To Other Building,13,Redbridge
201104,Burglary,Burglary In A Dwelling,225,Redbridge
201104,Violence Against The Person,Offensive Weapon,9,Redbridge
201104,Robbery,Business Property,7,Redbridge
201104,Sexual Offences,Other Sexual,10,Redbridge
201104,Theft and Handling,Other Theft,205,Redbridge
201104,Violence Against The Person,Wounding/GBH,17,Redbridge
201104,Violence Against The Person,Harassment,96,Redbridge
201104,Drugs,Drug Trafficking,7,Redbridge
201104,Criminal Damage,Other Criminal Damage,35,Redbridge
201104,Fraud and Forgery,Other Fraud and Forgery,15,Redbridge
201104,Violence Against The Person,Other Violence,17,Havering
201104,Theft and Handling,Other Theft,180,Havering
201104,Fraud and Forgery,Counted Per Victim,62,Havering
201104,Theft and Handling,Theft/Taking Of Pedal Cycle,15,Havering
201104,Sexual Offences,Rape,4,Havering
201104,Criminal Damage,Criminal Damage To Dwelling,31,Havering
201104,Violence Against The Person,Harassment,73,Havering
201104,Theft and Handling,Handling Stolen Goods,6,Havering
201104,Violence Against The Person,Assault With Injury,113,Havering
201104,Other Notifiable Offences,Going Equipped,1,Havering
201104,Sexual Offences,Other Sexual,7,Havering
201104,Theft and Handling,Theft From Shops,85,Havering
201104,Drugs,Drug Trafficking,4,Havering
201104,Theft and Handling,Theft From Motor Vehicle,116,Havering
201104,Theft and Handling,Motor Vehicle Interference and Tampering,12,Havering
201104,Robbery,Personal Property,27,Havering
201104,Burglary,Burglary In Other Buildings,60,Havering
201104,Drugs,Possession Of Drugs,63,Havering
201104,Violence Against The Person,Wounding/GBH,18,Havering
201104,Robbery,Business Property,7,Havering
201104,Criminal Damage,Criminal Damage To Motor Vehicle,91,Havering
201104,Theft and Handling,Theft/Taking Of Motor Vehicle,74,Havering
201104,Criminal Damage,Criminal Damage To Other Building,18,Havering
201104,Fraud and Forgery,Other Fraud and Forgery,7,Havering
201104,Violence Against The Person,Offensive Weapon,7,Havering
201104,Other Notifiable Offences,Other Notifiable,19,Havering
201104,Theft and Handling,Theft Person,20,Havering
201104,Burglary,Burglary In A Dwelling,132,Havering
201104,Violence Against The Person,Common Assault,62,Havering
201104,Criminal Damage,Other Criminal Damage,47,Havering
201104,Theft and Handling,Theft From Motor Vehicle,316,Newham
201104,Fraud and Forgery,Other Fraud and Forgery,50,Newham
201104,Theft and Handling,Theft/Taking Of Motor Vehicle,160,Newham
201104,Other Notifiable Offences,Other Notifiable,39,Newham
201104,Sexual Offences,Other Sexual,26,Newham
201104,Criminal Damage,Criminal Damage To Other Building,22,Newham
201104,Drugs,Other Drugs,1,Newham
201104,Criminal Damage,Criminal Damage To Dwelling,63,Newham
201104,Theft and Handling,Handling Stolen Goods,2,Newham
201104,Criminal Damage,Other Criminal Damage,52,Newham
201104,Sexual Offences,Rape,15,Newham
201104,Violence Against The Person,Common Assault,186,Newham
201104,Burglary,Burglary In A Dwelling,182,Newham
201104,Violence Against The Person,Assault With Injury,215,Newham
201104,Violence Against The Person,Other Violence,16,Newham
201104,Burglary,Burglary In Other Buildings,80,Newham
201104,Drugs,Possession Of Drugs,205,Newham
201104,Robbery,Business Property,6,Newham
201104,Robbery,Personal Property,207,Newham
201104,Theft and Handling,Theft/Taking Of Pedal Cycle,42,Newham
201104,Fraud and Forgery,Counted Per Victim,100,Newham
201104,Violence Against The Person,Harassment,93,Newham
201104,Theft and Handling,Motor Vehicle Interference and Tampering,26,Newham
201104,Violence Against The Person,Offensive Weapon,24,Newham
201104,Violence Against The Person,Wounding/GBH,40,Newham
201104,Other Notifiable Offences,Going Equipped,3,Newham
201104,Theft and Handling,Theft Person,110,Newham
201104,Criminal Damage,Criminal Damage To Motor Vehicle,97,Newham
201104,Theft and Handling,Theft From Shops,94,Newham
201104,Theft and Handling,Other Theft,234,Newham
201104,Drugs,Drug Trafficking,9,Newham
201104,Drugs,Other Drugs,1,Barking and Dagenham
201104,Theft and Handling,Theft From Motor Vehicle,119,Barking and Dagenham
201104,Fraud and Forgery,Counted Per Victim,90,Barking and Dagenham
201104,Sexual Offences,Rape,1,Barking and Dagenham
201104,Robbery,Personal Property,99,Barking and Dagenham
201104,Sexual Offences,Other Sexual,13,Barking and Dagenham
201104,Theft and Handling,Theft/Taking Of Pedal Cycle,30,Barking and Dagenham
201104,Other Notifiable Offences,Other Notifiable,36,Barking and Dagenham
201104,Theft and Handling,Theft/Taking Of Motor Vehicle,134,Barking and Dagenham
201104,Theft and Handling,Theft From Shops,67,Barking and Dagenham
201104,Criminal Damage,Other Criminal Damage,42,Barking and Dagenham
201104,Fraud and Forgery,Other Fraud and Forgery,21,Barking and Dagenham
201104,Violence Against The Person,Wounding/GBH,17,Barking and Dagenham
201104,Violence Against The Person,Harassment,60,Barking and Dagenham
201104,Criminal Damage,Criminal Damage To Other Building,15,Barking and Dagenham
201104,Robbery,Business Property,13,Barking and Dagenham
201104,Drugs,Possession Of Drugs,73,Barking and Dagenham
201104,Burglary,Burglary In A Dwelling,145,Barking and Dagenham
201104,Theft and Handling,Other Theft,147,Barking and Dagenham
201104,Violence Against The Person,Common Assault,99,Barking and Dagenham
201104,Violence Against The Person,Offensive Weapon,8,Barking and Dagenham
201104,Drugs,Drug Trafficking,8,Barking and Dagenham
201104,Burglary,Burglary In Other Buildings,61,Barking and Dagenham
201104,Violence Against The Person,Other Violence,11,Barking and Dagenham
201104,Theft and Handling,Handling Stolen Goods,3,Barking and Dagenham
201104,Theft and Handling,Theft Person,21,Barking and Dagenham
201104,Theft and Handling,Motor Vehicle Interference and Tampering,10,Barking and Dagenham
201104,Other Notifiable Offences,Going Equipped,2,Barking and Dagenham
201104,Violence Against The Person,Assault With Injury,139,Barking and Dagenham
201104,Criminal Damage,Criminal Damage To Motor Vehicle,108,Barking and Dagenham
201104,Criminal Damage,Criminal Damage To Dwelling,42,Barking and Dagenham
201104,Criminal Damage,Criminal Damage To Motor Vehicle,93,Lambeth
201104,Violence Against The Person,Other Violence,30,Lambeth
201104,Burglary,Burglary In Other Buildings,100,Lambeth
201104,Criminal Damage,Criminal Damage To Other Building,25,Lambeth
201104,Theft and Handling,Motor Vehicle Interference and Tampering,3,Lambeth
201104,Criminal Damage,Criminal Damage To Dwelling,91,Lambeth
201104,Violence Against The Person,Common Assault,147,Lambeth
201104,Theft and Handling,Handling Stolen Goods,4,Lambeth
201104,Drugs,Drug Trafficking,69,Lambeth
201104,Fraud and Forgery,Other Fraud and Forgery,39,Lambeth
201104,Theft and Handling,Theft/Taking Of Motor Vehicle,78,Lambeth
201104,Theft and Handling,Theft From Shops,66,Lambeth
201104,Other Notifiable Offences,Other Notifiable,35,Lambeth
201104,Violence Against The Person,Assault With Injury,216,Lambeth
201104,Criminal Damage,Other Criminal Damage,69,Lambeth
201104,Theft and Handling,Theft Person,313,Lambeth
201104,Violence Against The Person,Wounding/GBH,52,Lambeth
201104,Robbery,Business Property,21,Lambeth
201104,Other Notifiable Offences,Going Equipped,3,Lambeth
201104,Sexual Offences,Other Sexual,23,Lambeth
201104,Robbery,Personal Property,263,Lambeth
201104,Theft and Handling,Other Theft,500,Lambeth
201104,Burglary,Burglary In A Dwelling,224,Lambeth
201104,Violence Against The Person,Murder,2,Lambeth
201104,Drugs,Possession Of Drugs,208,Lambeth
201104,Fraud and Forgery,Counted Per Victim,51,Lambeth
201104,Violence Against The Person,Harassment,137,Lambeth
201104,Theft and Handling,Theft From Motor Vehicle,199,Lambeth
201104,Sexual Offences,Rape,12,Lambeth
201104,Theft and Handling,Theft/Taking Of Pedal Cycle,181,Lambeth
201104,Violence Against The Person,Offensive Weapon,16,Lambeth
201104,Robbery,Personal Property,194,Southwark
201104,Theft and Handling,Other Theft,400,Southwark
201104,Theft and Handling,Theft From Shops,101,Southwark
201104,Violence Against The Person,Harassment,115,Southwark
201104,Fraud and Forgery,Counted Per Victim,60,Southwark
201104,Theft and Handling,Handling Stolen Goods,2,Southwark
201104,Sexual Offences,Rape,8,Southwark
201104,Theft and Handling,Theft From Motor Vehicle,197,Southwark
201104,Drugs,Drug Trafficking,112,Southwark
201104,Criminal Damage,Criminal Damage To Dwelling,81,Southwark
201104,Theft and Handling,Motor Vehicle Interference and Tampering,12,Southwark
201104,Violence Against The Person,Offensive Weapon,10,Southwark
201104,Drugs,Other Drugs,1,Southwark
201104,Criminal Damage,Criminal Damage To Motor Vehicle,88,Southwark
201104,Burglary,Burglary In Other Buildings,83,Southwark
201104,Theft and Handling,Theft/Taking Of Pedal Cycle,132,Southwark
201104,Violence Against The Person,Common Assault,151,Southwark
201104,Violence Against The Person,Other Violence,29,Southwark
201104,Criminal Damage,Criminal Damage To Other Building,32,Southwark
201104,Violence Against The Person,Assault With Injury,218,Southwark
201104,Burglary,Burglary In A Dwelling,148,Southwark
201104,Robbery,Business Property,4,Southwark
201104,Theft and Handling,Theft Person,184,Southwark
201104,Other Notifiable Offences,Other Notifiable,39,Southwark
201104,Sexual Offences,Other Sexual,12,Southwark
201104,Drugs,Possession Of Drugs,260,Southwark
201104,Theft and Handling,Theft/Taking Of Motor Vehicle,96,Southwark
201104,Criminal Damage,Other Criminal Damage,66,Southwark
201104,Fraud and Forgery,Other Fraud and Forgery,38,Southwark
201104,Violence Against The Person,Wounding/GBH,32,Southwark
201104,Theft and Handling,Theft/Taking Of Motor Vehicle,69,Islington
201104,Violence Against The Person,Other Violence,14,Islington
201104,Drugs,Drug Trafficking,15,Islington
201104,Theft and Handling,Theft Person,137,Islington
201104,Other Notifiable Offences,Other Notifiable,25,Islington
201104,Criminal Damage,Other Criminal Damage,47,Islington
201104,Other Notifiable Offences,Going Equipped,7,Islington
201104,Criminal Damage,Criminal Damage To Dwelling,51,Islington
201104,Fraud and Forgery,Other Fraud and Forgery,15,Islington
201104,Violence Against The Person,Harassment,178,Islington
201104,Violence Against The Person,Common Assault,119,Islington
201104,Drugs,Possession Of Drugs,105,Islington
201104,Criminal Damage,Criminal Damage To Other Building,22,Islington
201104,Sexual Offences,Other Sexual,17,Islington
201104,Theft and Handling,Other Theft,378,Islington
201104,Burglary,Burglary In A Dwelling,103,Islington
201104,Violence Against The Person,Wounding/GBH,30,Islington
201104,Robbery,Business Property,5,Islington
201104,Criminal Damage,Criminal Damage To Motor Vehicle,61,Islington
201104,Theft and Handling,Motor Vehicle Interference and Tampering,20,Islington
201104,Theft and Handling,Handling Stolen Goods,10,Islington
201104,Theft and Handling,Theft From Shops,119,Islington
201104,Burglary,Burglary In Other Buildings,89,Islington
201104,Violence Against The Person,Assault With Injury,147,Islington
201104,Fraud and Forgery,Counted Per Victim,45,Islington
201104,Sexual Offences,Rape,11,Islington
201104,Theft and Handling,Theft/Taking Of Pedal Cycle,105,Islington
201104,Theft and Handling,Theft From Motor Vehicle,149,Islington
201104,Robbery,Personal Property,98,Islington
201104,Drugs,Other Drugs,1,Islington
201104,Violence Against The Person,Offensive Weapon,14,Islington
201104,Theft and Handling,Handling Stolen Goods,4,Lewisham
201104,Theft and Handling,Theft/Taking Of Motor Vehicle,72,Lewisham
201104,Other Notifiable Offences,Going Equipped,2,Lewisham
201104,Violence Against The Person,Offensive Weapon,16,Lewisham
201104,Criminal Damage,Criminal Damage To Dwelling,82,Lewisham
201104,Violence Against The Person,Assault With Injury,190,Lewisham
201104,Criminal Damage,Criminal Damage To Motor Vehicle,104,Lewisham
201104,Theft and Handling,Motor Vehicle Interference and Tampering,17,Lewisham
201104,Violence Against The Person,Common Assault,133,Lewisham
201104,Sexual Offences,Other Sexual,21,Lewisham
201104,Fraud and Forgery,Other Fraud and Forgery,30,Lewisham
201104,Fraud and Forgery,Counted Per Victim,108,Lewisham
201104,Theft and Handling,Theft/Taking Of Pedal Cycle,53,Lewisham
201104,Theft and Handling,Theft Person,65,Lewisham
201104,Other Notifiable Offences,Other Notifiable,33,Lewisham
201104,Robbery,Personal Property,111,Lewisham
201104,Criminal Damage,Criminal Damage To Other Building,23,Lewisham
201104,Criminal Damage,Other Criminal Damage,54,Lewisham
201104,Violence Against The Person,Wounding/GBH,11,Lewisham
201104,Robbery,Business Property,12,Lewisham
201104,Violence Against The Person,Other Violence,32,Lewisham
201104,Drugs,Possession Of Drugs,136,Lewisham
201104,Theft and Handling,Theft From Shops,135,Lewisham
201104,Burglary,Burglary In A Dwelling,160,Lewisham
201104,Sexual Offences,Rape,9,Lewisham
201104,Theft and Handling,Theft From Motor Vehicle,169,Lewisham
201104,Theft and Handling,Other Theft,248,Lewisham
201104,Burglary,Burglary In Other Buildings,69,Lewisham
201104,Drugs,Drug Trafficking,11,Lewisham
201104,Violence Against The Person,Harassment,169,Lewisham
201104,Criminal Damage,Criminal Damage To Motor Vehicle,107,Bromley
201104,Sexual Offences,Other Sexual,17,Bromley
201104,Other Notifiable Offences,Going Equipped,3,Bromley
201104,Criminal Damage,Criminal Damage To Other Building,29,Bromley
201104,Robbery,Business Property,7,Bromley
201104,Violence Against The Person,Wounding/GBH,24,Bromley
201104,Drugs,Drug Trafficking,3,Bromley
201104,Violence Against The Person,Other Violence,5,Bromley
201104,Theft and Handling,Other Theft,230,Bromley
201104,Burglary,Burglary In A Dwelling,132,Bromley
201104,Violence Against The Person,Harassment,117,Bromley
201104,Criminal Damage,Criminal Damage To Dwelling,46,Bromley
201104,Theft and Handling,Theft Person,20,Bromley
201104,Criminal Damage,Other Criminal Damage,61,Bromley
201104,Theft and Handling,Motor Vehicle Interference and Tampering,14,Bromley
201104,Theft and Handling,Handling Stolen Goods,3,Bromley
201104,Fraud and Forgery,Other Fraud and Forgery,17,Bromley
201104,Burglary,Burglary In Other Buildings,104,Bromley
201104,Robbery,Personal Property,53,Bromley
