Vote,,,,,,,,
Submission Details,,,,,,,,
Serial,SID,IP Address,Articulates a vision,Motivates others,Makes effective decisions,Willingness to confront tough issues,Impacts history,Node
70805,71011,5.47.107.240,5,5,5,5,5,node/88
70806,71012,81.213.171.41,5,5,5,5,5,node/85
70807,71013,24.133.138.166,5,5,5,5,5,node/88
70808,71014,94.55.170.55,5,5,5,5,5,node/88
70809,71015,94.55.170.55,5,5,5,5,5,node/88
70810,71016,212.253.106.192,5,5,5,5,5,node/88
70811,71017,176.239.188.6,5,5,5,5,5,node/88
70812,71018,24.133.138.166,5,5,5,5,5,node/85
70813,71019,24.133.138.166,5,5,5,5,5,node/85
70814,71020,24.133.138.166,5,5,5,5,5,node/85
70815,71021,212.253.106.192,5,5,5,5,5,node/88
70816,71022,69.178.176.98,5,5,5,5,5,node/88
70817,71023,24.133.89.15,5,5,5,5,5,node/88
70818,71024,176.239.188.6,4.5,4.5,5,4.5,5,node/88
70819,71025,213.197.5.84,5,5,5,5,5,node/88
70820,71026,90.17.190.166,5,5,5,5,5,node/88
70821,71027,83.40.201.19,5,4.5,5,5,4,node/88
70822,71028,212.252.65.189,5,5,5,5,5,node/88
70823,71029,88.235.177.234,5,5,5,5,5,node/88
70824,71030,46.2.24.111,5,5,5,5,5,node/88
70825,71031,97.104.22.202,5,5,5,5,5,node/88
70826,71032,78.163.169.192,5,5,5,5,5,node/85
70827,71033,173.66.184.216,5,5,5,5,5,node/88
70828,71034,92.45.230.52,5,5,5,5,5,node/88
70829,71035,88.244.178.232,5,5,5,5,5,node/88
70830,71036,5.47.49.122,5,5,5,5,5,node/88
70831,71037,78.163.169.192,5,5,5,5,5,node/88
70832,71038,88.238.119.177,5,5,5,5,5,node/88
70833,71039,88.244.178.232,5,5,5,5,5,node/88
70834,71040,88.238.119.177,5,5,5,5,5,node/88
70835,71041,188.3.188.119,5,5,5,5,5,node/88
70836,71042,176.219.148.124,5,5,5,5,5,node/88
70837,71043,5.24.224.120,5,5,5,5,5,node/88
70838,71044,94.54.87.77,5,5,5,5,5,node/88
70839,71045,188.3.188.119,5,5,5,5,5,node/88
70840,71046,88.248.184.118,5,5,5,5,5,node/85
70841,71047,66.216.242.223,4,4,5,5,5,node/25
70842,71048,94.121.168.162,5,5,5,5,5,node/88
70843,71049,78.180.136.146,5,5,5,5,5,node/88
70844,71050,176.239.31.30,5,5,5,5,5,node/88
70845,71051,78.180.136.146,5,5,5,5,5,node/88
70846,71052,88.241.42.176,5,5,5,5,5,node/88
70847,71053,176.239.31.30,5,5,5,5,5,node/88
70848,71054,81.213.40.205,5,5,5,5,5,node/88
70849,71055,216.186.131.55,5,5,5,5,5,node/116
70850,71056,176.239.31.30,5,5,5,5,5,node/88
70851,71057,78.180.59.231,5,5,5,5,5,node/88
70852,71058,95.15.117.234,5,5,5,5,5,node/88
70853,71059,75.115.253.134,4.5,4,1,4.5,5,node/27
70854,71060,176.240.166.124,5,5,5,5,5,node/88
70855,71061,159.146.14.105,5,5,5,5,5,node/88
70856,71062,69.181.2.73,5,5,5,5,5,node/88
70857,71063,159.146.14.105,5,5,5,5,5,node/88
70858,71064,5.46.24.158,5,5,5,5,5,node/88
70859,71065,176.41.248.239,5,5,5,5,5,node/88
70860,71066,176.41.248.239,5,5,5,5,5,node/85
70861,71067,46.208.147.41,5,5,5,5,5,node/88
70862,71068,37.154.51.154,5,5,5,5,5,node/88
70863,71069,80.218.100.50,5,5,5,5,5,node/88
70864,71070,37.154.51.154,5,5,5,5,5,node/88
70865,71071,88.236.139.87,5,5,5,5,5,node/88
70866,71072,88.247.55.186,5,5,5,5,5,node/88
70867,71073,176.41.248.239,5,4.5,4.5,4.5,4.5,node/105
70868,71074,85.57.69.31,5,5,5,5,5,node/88
70869,71075,176.41.248.239,5,5,5,5,5,node/38
70870,71076,198.14.248.58,5,5,4,5,3.5,node/87
70871,71077,78.165.115.10,5,5,5,5,5,node/88
70872,71078,95.70.134.99,5,5,5,5,5,node/88
70873,71079,88.241.18.70,5,5,5,5,5,node/88
70874,71080,95.70.134.99,5,5,5,5,5,node/88
70875,71081,78.165.33.43,5,5,5,5,5,node/88
70876,71082,78.165.115.10,5,5,5,5,5,node/85
70877,71083,78.188.195.130,5,5,5,5,5,node/88
70878,71084,188.56.189.217,5,5,5,5,5,node/88
70879,71085,188.56.189.217,5,5,5,5,5,node/88
70880,71086,78.165.33.43,5,5,5,5,5,node/105
70881,71087,95.14.211.109,5,5,5,5,5,node/88
70882,71088,105.235.137.130,5,5,4.5,5,5,node/88
70883,71089,195.174.114.230,5,5,5,5,5,node/85
70884,71090,85.76.135.49,5,5,5,5,5,node/88
70885,71091,78.173.127.51,1,1,1,1,1,node/88
70886,71092,78.165.33.43,5,5,5,5,5,node/85
70887,71093,176.240.195.14,5,5,5,5,5,node/88
70888,71094,212.122.106.162,5,5,5,5,5,node/88
70889,71095,78.173.127.51,5,5,5,5,5,node/88
70890,71096,78.173.127.51,5,5,5,5,5,node/88
70891,71097,78.167.228.160,5,5,5,5,5,node/88
70892,71098,78.167.228.160,5,5,5,5,5,node/88
70893,71099,95.223.71.49,5,5,5,5,5,node/88
70894,71100,5.47.173.133,5,5,5,5,5,node/88
70895,71101,195.174.114.230,5,5,5,5,5,node/105
70896,71102,78.190.16.108,5,5,5,5,5,node/88
70897,71103,78.190.16.108,5,5,5,5,5,node/88
70898,71104,68.146.48.233,5,4.5,5,5,5,node/88
70899,71105,212.253.107.160,5,5,5,5,4.5,node/88
70900,71106,96.254.221.53,5,5,5,5,5,node/88
70901,71107,95.96.246.146,5,5,5,5,5,node/88
70902,71108,68.146.48.233,5,5,5,5,5,node/88
70903,71109,95.96.246.146,5,5,5,5,5,node/88
70904,71110,95.14.211.109,5,5,5,5,5,node/85
70905,71111,78.167.193.211,5,5,5,5,5,node/88
70906,71112,94.54.253.19,5,5,5,5,5,node/85
70907,71113,88.235.252.82,5,5,5,5,5,node/105
70908,71114,81.215.39.205,5,5,5,5,5,node/88
70909,71115,78.167.228.160,5,5,5,5,5,node/88
70910,71116,88.253.225.135,5,5,5,5,5,node/88
70911,71117,81.215.39.205,5,5,5,5,5,node/88
70912,71118,88.235.252.82,5,5,5,5,5,node/85
70913,71119,78.169.251.123,5,5,5,5,5,node/88
70914,71120,88.253.225.135,5,5,5,5,5,node/88
70915,71121,78.169.251.123,5,5,5,5,5,node/88
70916,71122,71.224.3.247,4.5,5,5,5,5,node/25
70917,71123,88.235.42.211,5,5,5,5,5,node/88
70918,71124,188.57.84.132,5,5,5,5,5,node/88
70919,71125,188.57.1.168,5,5,5,5,5,node/88
70920,71126,78.181.215.200,5,5,5,5,5,node/88
70921,71127,188.57.84.132,5,5,5,5,5,node/88
70922,71128,92.44.119.177,5,5,5,5,5,node/88
70923,71129,88.235.42.211,5,5,3.5,5,5,node/83
70924,71130,176.41.65.156,5,5,5,5,5,node/88
70925,71131,176.40.150.237,5,5,5,5,5,node/88
70926,71132,109.90.13.158,5,5,5,5,5,node/88
70927,71133,85.100.200.253,5,5,5,5,5,node/88
70928,71134,176.238.51.27,5,5,5,5,5,node/88
70929,71135,178.240.194.47,5,5,5,5,5,node/88
70930,71136,78.179.101.68,5,5,5,5,5,node/88
70931,71137,94.123.196.44,5,5,5,5,5,node/88
70932,71138,31.200.18.136,5,5,5,5,5,node/88
70933,71139,88.226.89.242,5,5,5,5,5,node/88
70934,71140,178.233.125.158,5,5,5,5,5,node/88
70935,71141,178.244.119.42,5,5,5,5,5,node/88
70936,71142,78.180.226.99,5,5,5,5,5,node/88
70937,71143,176.238.45.32,5,5,5,5,5,node/88
70938,71144,178.233.125.158,5,5,5,5,5,node/88
70939,71145,92.44.24.244,5,5,5,5,5,node/88
70940,71146,88.224.150.247,5,5,5,5,5,node/88
70941,71147,176.238.45.32,5,5,5,5,5,node/88
70942,71148,71.224.3.247,5,5,4.5,5,5,node/83
70943,71149,68.146.48.233,5,5,5,5,5,node/88
70944,71150,68.146.48.233,5,5,5,5,5,node/88
70945,71151,68.146.48.233,5,5,5,5,5,node/88
70946,71152,176.238.45.32,5,5,5,5,5,node/88
70947,71153,195.155.245.62,5,5,5,5,5,node/88
70948,71154,78.162.44.4,5,5,5,5,5,node/88
70949,71155,24.133.161.253,5,5,5,5,5,node/88
70950,71156,188.56.189.217,5,5,5,5,5,node/88
70951,71157,92.44.24.244,5,5,5,5,5,node/85
70952,71158,46.197.143.159,5,5,5,5,5,node/88
70953,71159,78.162.44.4,5,5,5,5,5,node/85
70954,71160,85.96.8.200,5,5,5,5,5,node/88
70955,71161,95.65.166.248,5,5,5,5,5,node/88
70956,71162,78.174.168.113,5,5,5,5,5,node/88
70957,71163,78.185.248.253,5,5,5,5,5,node/88
70958,71164,78.185.248.253,5,5,5,5,5,node/88
70959,71165,95.15.73.68,5,5,5,5,5,node/88
70960,71166,46.196.116.125,5,5,5,5,5,node/88
70961,71167,46.196.116.125,5,5,5,5,5,node/88
70962,71168,46.196.116.125,5,5,5,5,5,node/88
70963,71169,88.246.121.225,5,5,5,1,5,node/88
70964,71170,88.238.78.82,5,5,5,5,5,node/88
70965,71171,88.230.174.99,5,5,5,5,5,node/88
70966,71172,78.185.248.253,5,5,5,5,5,node/88
70967,71173,95.70.130.79,5,5,5,5,5,node/88
70968,71174,37.201.85.136,5,5,5,5,5,node/88
70969,71175,37.123.24.38,5,5,5,5,5,node/88
70970,71176,88.246.121.225,5,5,5,5,5,node/88
70971,71177,78.185.248.253,5,5,5,5,5,node/88
70972,71178,37.201.229.176,5,5,5,5,5,node/88
70973,71179,78.185.248.253,5,5,5,5,5,node/88
70974,71180,85.96.217.219,5,4.5,5,5,5,node/88
70975,71181,176.42.85.255,5,5,5,5,5,node/88
70976,71182,94.121.163.85,5,5,5,5,5,node/88
70977,71183,88.244.178.142,5,4,5,5,5,node/88
70978,71184,212.154.10.70,5,5,5,5,5,node/88
70979,71185,212.154.10.70,5,5,5,5,5,node/88
70980,71186,88.244.178.142,5,5,5,5,5,node/88
70981,71187,195.174.133.243,5,5,5,5,5,node/88
70982,71188,176.40.164.252,5,5,5,5,5,node/88
70983,71189,178.200.26.96,5,5,5,5,5,node/88
70984,71190,188.57.20.243,5,5,5,5,5,node/88
70985,71191,176.40.164.252,5,5,5,5,5,node/88
70986,71192,78.191.236.32,5,5,5,5,5,node/88
70987,71193,94.121.174.61,5,5,5,5,5,node/88
70988,71194,88.246.205.143,5,5,5,5,5,node/88
70989,71195,78.181.89.57,5,5,5,5,5,node/88
70990,71196,78.181.160.253,5,5,5,5,5,node/88
70991,71197,94.121.174.61,5,5,5,5,5,node/88
70992,71198,193.140.194.49,5,5,5,5,5,node/88
70993,71199,78.191.236.32,5,5,5,5,5,node/88
70994,71200,85.26.183.128,5,5,5,5,5,node/88
70995,71201,176.41.129.47,5,5,5,5,5,node/88
70996,71202,198.179.65.102,5,5,5,5,5,node/88
70997,71203,94.123.224.200,5,5,5,5,5,node/88
70998,71204,193.140.194.34,5,5,5,5,5,node/88
70999,71205,75.76.17.14,5,5,5,5,5,node/29
71000,71206,5.47.154.190,5,5,5,5,5,node/88
71001,71207,72.244.53.35,5,5,5,5,5,node/88
71002,71208,88.235.23.194,5,5,5,5,5,node/88
71003,71209,88.224.4.172,5,5,5,5,5,node/88
71004,71210,78.184.80.66,5,5,5,5,5,node/88
71005,71211,88.224.4.172,5,5,5,5,5,node/88
71006,71212,212.252.7.254,5,5,5,5,5,node/85
71007,71213,85.106.158.33,5,5,5,5,5,node/88
71008,71214,91.183.55.238,5,5,5,5,5,node/88
71009,71215,195.214.190.74,5,5,5,5,5,node/88
71010,71216,24.133.87.43,5,5,5,5,5,node/88
71011,71217,31.186.228.60,5,5,5,5,5,node/88
71012,71218,85.101.199.198,5,5,5,5,5,node/88
71013,71219,78.161.201.255,5,5,5,5,5,node/88
71014,71220,85.101.199.198,5,5,5,5,5,node/85
71015,71221,81.213.41.133,5,5,5,5,5,node/85
71016,71222,94.123.243.51,5,5,5,5,5,node/88
71017,71223,85.103.150.46,5,5,5,5,5,node/88
71018,71224,88.235.141.79,5,5,5,5,5,node/88
71019,71225,88.251.108.25,5,5,5,5,5,node/88
71020,71226,212.252.56.73,5,5,5,5,5,node/88
71021,71227,88.230.168.2,5,5,5,5,5,node/88
71022,71228,92.226.154.16,5,5,5,5,5,node/88
71023,71229,95.10.132.229,5,5,5,5,5,node/88
71024,71230,78.163.79.139,5,4.5,5,5,5,node/88
71025,71231,83.43.165.142,5,5,5,5,5,node/88
71026,71232,176.42.22.61,5,5,5,5,5,node/88
71027,71233,92.226.154.16,5,5,5,5,5,node/88
71028,71234,188.238.129.85,5,5,5,5,5,node/88
71029,71235,78.182.78.216,5,5,5,5,5,node/88
71030,71236,188.57.253.5,5,5,5,5,5,node/88
71031,71237,203.9.125.252,5,5,5,5,5,node/88
71032,71238,94.55.142.85,5,5,5,5,5,node/88
71033,71239,78.178.32.22,5,5,5,5,5,node/88
71034,71240,78.163.206.249,5,5,5,5,5,node/88
71035,71241,88.238.121.26,5,5,5,5,5,node/88
71036,71242,78.165.141.153,5,5,5,5,5,node/88
71037,71243,85.107.187.177,5,5,5,5,5,node/88
71038,71244,88.238.121.26,5,5,5,5,5,node/88
71039,71245,88.238.121.26,5,5,5,5,5,node/88
71040,71246,46.197.50.243,5,5,5,5,5,node/88
71041,71247,99.229.124.40,5,5,5,5,5,node/88
71042,71248,46.197.50.243,5,5,5,5,5,node/88
71043,71249,78.188.84.86,5,5,5,5,5,node/88
71044,71250,62.195.19.71,5,5,5,5,5,node/88
71045,71251,193.225.93.53,5,5,5,5,5,node/88
71046,71252,37.24.146.169,5,5,5,5,5,node/88
71047,71253,78.175.74.218,5,5,5,5,5,node/88
71048,71254,81.213.46.31,5,5,5,5,5,node/85
71049,71255,193.225.93.53,5,5,5,5,5,node/88
71050,71256,67.188.139.212,5,5,5,5,5,node/88
71051,71257,216.185.38.11,5,5,5,5,5,node/88
71052,71258,95.15.90.232,5,5,5,5,5,node/88
71053,71259,95.15.90.232,5,5,5,5,5,node/88
71054,71260,81.214.17.29,5,5,5,5,5,node/88
71055,71261,78.182.78.216,5,5,5,5,5,node/88
71056,71262,78.174.180.14,4.5,5,5,5,5,node/88
71057,71263,95.15.90.232,5,5,5,5,5,node/88
71058,71264,88.241.181.160,5,5,5,5,5,node/88
71059,71265,213.205.252.20,5,5,5,5,5,node/88
71060,71266,88.246.242.166,5,5,5,5,5,node/85
71061,71267,213.205.252.20,5,5,5,5,5,node/88
71062,71268,213.205.252.20,5,5,5,5,5,node/88
71063,71269,213.205.252.20,5,5,5,5,5,node/88
71064,71270,37.154.171.13,5,5,5,5,5,node/88
71065,71271,41.110.180.194,5,5,5,5,5,node/88
71066,71272,41.110.180.194,5,5,5,5,5,node/88
71067,71273,60.240.246.192,5,5,5,5,5,node/88
71068,71274,94.121.241.56,5,5,4,5,5,node/88
71069,71275,94.121.241.56,5,5,5,5,5,node/88
71070,71276,95.8.233.104,5,5,5,5,5,node/88
71071,71277,94.121.241.56,5,5,5,5,5,node/88
71072,71278,94.121.241.56,5,5,5,5,5,node/88
71073,71279,94.121.241.56,5,4.5,5,5,5,node/88
71074,71280,88.241.28.107,5,5,5,5,5,node/88
71075,71281,94.120.231.155,5,5,5,5,5,node/88
71076,71282,95.8.147.64,5,5,5,5,5,node/88
71077,71283,94.120.231.155,5,5,5,5,5,node/88
71078,71284,94.120.231.155,5,5,5,5,5,node/88
71079,71285,78.160.80.136,5,5,5,5,5,node/88
71080,71286,176.240.54.164,5,5,5,5,5,node/88
71081,71287,46.1.108.140,5,5,5,5,5,node/88
71082,71288,71.34.55.140,5,3.5,4,4,3.5,node/83
71083,71289,66.216.242.223,3,4,5,4.5,3.5,node/98
71084,71290,94.120.74.232,5,5,5,5,5,node/88
71085,71291,88.243.112.188,5,5,5,5,5,node/88
71086,71292,94.121.161.85,5,5,5,5,5,node/88
71087,71293,157.130.193.30,3.5,5,4.5,5,5,node/83
71088,71294,71.255.80.145,5,5,5,5,5,node/88
71089,71295,90.215.114.183,5,5,5,5,5,node/88
71090,71296,78.185.154.176,5,5,5,5,5,node/88
71091,71297,37.155.41.100,5,5,5,5,5,node/88
71092,71298,88.73.156.67,5,5,5,5,5,node/88
71093,71299,37.155.41.100,5,5,5,5,5,node/88
71094,71300,88.73.156.67,5,5,5,5,5,node/88
71095,71301,88.73.156.67,5,5,5,5,5,node/88
71096,71302,66.216.242.223,5,5,5,3.5,5,node/34
71097,71303,176.43.74.205,5,5,5,5,5,node/88
71098,71304,176.43.74.205,5,5,5,5,5,node/88
71099,71305,5.47.104.225,5,5,5,5,5,node/88
71100,71306,194.27.156.29,5,5,5,5,5,node/88
71101,71307,176.240.84.237,5,5,5,5,5,node/88
71102,71308,50.175.40.220,5,5,5,5,5,node/25
71103,71309,50.175.40.220,5,5,5,5,5,node/25
71104,71310,50.175.40.220,5,5,5,5,5,node/25
71105,71311,84.227.30.154,5,5,5,5,5,node/88
71106,71312,78.173.39.127,5,5,5,5,5,node/88
71107,71313,50.175.40.220,5,5,5,5,5,node/25
71108,71314,95.10.178.204,5,5,5,5,5,node/88
71109,71315,50.175.40.220,5,5,5,5,5,node/25
71110,71316,88.240.30.146,5,5,5,5,5,node/88
71111,71317,50.175.40.220,5,5,5,5,5,node/25
71112,71318,50.175.40.220,5,5,5,5,5,node/25
71113,71319,95.8.55.173,5,5,5,5,5,node/88
71114,71320,50.175.40.220,5,5,5,5,5,node/25
71115,71321,82.222.135.72,5,5,5,5,5,node/88
71116,71322,50.175.40.220,5,5,5,5,5,node/25
71117,71323,176.114.232.174,5,5,5,5,5,node/88
71118,71324,50.175.40.220,5,5,5,5,5,node/25
71119,71325,50.175.40.220,5,5,5,5,5,node/25
71120,71326,50.175.40.220,5,5,5,5,5,node/25
71121,71327,68.63.60.203,5,5,5,5,5,node/59
71122,71328,176.219.149.3,5,5,5,5,5,node/88
71123,71329,81.17.27.234,5,5,5,5,5,node/88
71124,71330,78.185.191.28,5,5,5,5,5,node/88
71125,71331,78.185.191.28,5,5,5,5,5,node/88
71126,71332,2.222.238.79,5,5,5,5,5,node/38
71127,71333,176.43.142.179,5,5,5,5,5,node/88
71128,71334,176.43.142.179,5,5,5,5,5,node/88
71129,71335,178.240.59.139,5,5,5,5,5,node/88
71130,71336,50.175.40.220,5,5,5,5,5,node/25
71131,71337,50.175.40.220,5,5,5,5,5,node/25
71132,71338,178.240.59.139,5,5,5,5,5,node/88
71133,71339,50.175.40.220,5,5,5,5,5,node/25
71134,71340,50.175.40.220,5,5,5,5,5,node/25
71135,71341,50.175.40.220,5,5,5,5,5,node/25
71136,71342,50.175.40.220,5,5,5,5,5,node/25
71137,71343,176.219.170.232,5,5,5,5,5,node/88
71138,71344,50.175.40.220,5,5,5,5,5,node/25
71139,71345,50.175.40.220,5,5,5,5,5,node/25
71140,71346,50.175.40.220,5,5,5,5,5,node/25
71141,71347,46.196.113.59,5,5,5,5,5,node/88
71142,71348,95.8.55.173,5,5,5,5,5,node/88
71143,71349,50.175.40.220,5,5,5,5,5,node/25
71144,71350,50.175.40.220,5,5,5,5,5,node/25
71145,71351,50.175.40.220,5,5,5,5,5,node/25
71146,71352,50.175.40.220,5,5,5,5,5,node/25
71147,71353,85.108.76.65,5,5,5,5,5,node/88
71148,71354,50.175.40.220,5,5,5,5,5,node/25
71149,71355,50.175.40.220,5,5,5,5,5,node/25
71150,71356,50.175.40.220,5,5,5,5,5,node/25
71151,71357,50.175.40.220,5,5,5,5,5,node/25
71152,71358,50.175.40.220,5,5,5,5,5,node/25
71153,71359,50.175.40.220,5,5,5,5,5,node/25
71154,71360,50.175.40.220,5,5,5,5,5,node/25
71155,71361,176.40.225.123,4.5,5,5,4.5,5,node/88
71156,71362,50.175.40.220,5,5,5,5,5,node/25
71157,71363,176.219.149.3,5,5,5,5,5,node/85
71158,71364,212.253.112.151,5,5,5,5,5,node/88
71159,71365,50.175.40.220,5,5,5,5,5,node/25
71160,71366,50.175.40.220,5,5,5,5,5,node/25
71161,71367,50.175.40.220,5,5,5,5,5,node/25
71162,71368,50.175.40.220,5,5,5,5,5,node/25
71163,71369,50.175.40.220,5,5,5,5,5,node/25
71164,71370,50.175.40.220,5,5,5,5,5,node/25
71165,71371,50.175.40.220,5,5,5,5,5,node/25
71166,71372,50.175.40.220,5,5,5,5,5,node/25
71167,71373,24.226.105.197,5,5,5,5,5,node/88
71168,71374,107.204.244.240,5,3.5,4,3,4.5,node/118
71169,71375,193.55.52.1,5,5,5,5,5,node/88
71170,71376,50.175.40.220,1,1,1,1,1,node/72
71171,71377,50.175.40.220,1,1,1,1,1,node/88
71172,71378,88.251.73.55,5,5,5,5,5,node/88
71173,71379,50.175.40.220,1,1,1,1,1,node/88
71174,71380,50.175.40.220,1,1,1,1,1,node/88
71175,71381,50.175.40.220,1,1,1,1,1,node/88
71176,71382,50.175.40.220,1,1,1,1,1,node/88
71177,71383,50.175.40.220,1,1,1,1,1,node/88
71178,71384,50.175.40.220,1,1,1,1,1,node/88
71179,71385,50.175.40.220,1,1,1,1,1,node/88
71180,71386,50.175.40.220,1,1,1,1,1,node/88
71181,71387,50.175.40.220,1,1,1,1,1,node/88
71182,71388,50.175.40.220,1,1,1,1,1,node/88
71183,71389,50.175.40.220,1,1,1,1,1,node/85
71184,71390,95.14.179.170,5,5,5,5,5,node/88
71185,71391,78.182.76.80,5,4.5,5,4.5,5,node/88
71186,71392,50.175.40.220,1,3,3,3,3,node/72
71187,71393,85.101.201.188,5,5,5,5,5,node/88
71188,71394,50.175.40.220,1,3,3,3,3,node/72
71189,71395,79.50.128.35,5,5,5,5,5,node/88
71190,71396,79.50.128.35,5,5,5,5,5,node/88
71191,71397,79.50.128.35,5,5,5,5,5,node/88
71192,71398,37.154.21.58,5,5,5,5,5,node/88
71193,71399,72.143.232.75,5,5,5,5,5,node/88
71194,71400,176.41.167.61,5,5,5,5,5,node/88
71195,71401,66.216.242.223,5,3,3,3,5,node/57
71196,71402,71.200.194.95,5,5,5,5,5,node/88
71197,71403,195.142.92.20,5,5,5,5,5,node/88
71198,71404,78.170.143.41,5,5,5,5,5,node/85
71199,71405,78.182.146.24,5,5,5,5,5,node/88
71200,71406,78.172.78.177,1,1,1,1,1,node/88
71201,71407,78.182.76.80,5,5,5,5,5,node/113
71202,71408,71.255.80.145,5,5,5,5,5,node/88
71203,71409,24.133.221.237,5,5,5,5,5,node/85
71204,71410,24.133.221.237,5,5,5,5,5,node/85
71205,71411,85.107.139.145,5,5,5,5,5,node/88
71206,71412,78.170.143.41,5,5,5,5,5,node/85
71207,71413,176.240.100.204,5,5,5,5,5,node/88
71208,71414,91.93.53.48,5,5,5,5,5,node/88
71209,71415,91.93.53.48,5,5,5,5,5,node/88
71210,71416,95.7.179.167,5,5,5,5,5,node/88
71211,71417,88.230.206.44,5,5,5,5,5,node/88
71212,71418,176.43.208.134,5,5,5,5,5,node/88
71213,71419,88.227.204.204,5,5,5,5,5,node/88
71214,71420,137.25.255.1,5,5,5,5,5,node/88
71215,71421,188.57.113.65,5,5,5,5,5,node/88
71216,71422,81.217.67.50,5,5,5,5,5,node/88
71217,71423,94.123.232.147,5,3.5,4.5,5,3.5,node/88
71218,71424,94.55.208.160,5,5,5,5,5,node/88
71219,71425,94.55.208.160,5,5,5,5,5,node/88
71220,71426,37.210.175.121,5,5,5,5,5,node/88
71221,71427,78.181.101.38,5,5,5,5,5,node/88
71222,71428,78.178.165.245,5,5,5,5,5,node/88
71223,71429,212.252.166.63,5,5,5,5,5,node/88
71224,71430,31.200.14.20,5,5,5,5,5,node/88
71225,71431,68.112.148.65,5,5,5,5,5,node/90
71226,71432,50.175.40.220,1,1,1,1,1,node/88
71227,71433,83.66.148.108,5,5,5,5,5,node/88
71228,71434,50.175.40.220,1,1,1,1,1,node/88
71229,71435,80.220.91.201,5,5,5,5,5,node/88
71230,71436,80.212.150.229,5,5,5,5,5,node/88
71231,71437,78.170.143.41,5,5,5,5,5,node/85
71232,71438,88.226.54.105,5,5,5,5,5,node/85
71233,71439,88.229.86.178,1,1,1,1,1,node/88
71234,71440,94.54.241.50,5,5,5,5,5,node/88
71235,71441,94.54.241.50,5,5,5,5,5,node/88
71236,71442,195.155.212.98,5,5,5,5,5,node/88
